ticker,underlying,expiry,strike,iv,option_type,last_updated
O:SPY250617C00400000,SPY,2025-06-17,400,0,call,2025-06-17T02:32:14.372523
O:SPY250617C00405000,SPY,2025-06-17,405,0,call,2025-06-17T02:32:14.372567
O:SPY250617C00410000,SPY,2025-06-17,410,0,call,2025-06-17T02:32:14.372574
O:SPY250617C00415000,SPY,2025-06-17,415,0,call,2025-06-17T02:32:14.372579
O:SPY250617C00420000,SPY,2025-06-17,420,0,call,2025-06-17T02:32:14.372584
O:SPY250617C00425000,SPY,2025-06-17,425,0,call,2025-06-17T02:32:14.372588
O:SPY250617C00430000,SPY,2025-06-17,430,0,call,2025-06-17T02:32:14.372593
O:SPY250617C00435000,SPY,2025-06-17,435,0,call,2025-06-17T02:32:14.372597
O:SPY250617C00440000,SPY,2025-06-17,440,0,call,2025-06-17T02:32:14.372601
O:SPY250617C00445000,SPY,2025-06-17,445,0,call,2025-06-17T02:32:14.372606
